benchmark,target_id
apps,0
apps,1
apps,2
apps,3
apps,4
apps,5
apps,6
apps,7
apps,8
apps,9
apps,10
apps,11
apps,12
apps,13
apps,14
apps,15
apps,16
apps,17
apps,18
apps,19
apps,20
apps,21
apps,22
apps,23
apps,24
apps,25
apps,26
apps,27
apps,28
apps,29
apps,30
apps,31
apps,32
apps,33
apps,34
apps,35
apps,36
apps,37
apps,38
apps,39
apps,40
apps,41
apps,42
apps,43
apps,44
apps,45
apps,46
apps,47
apps,48
apps,49
apps,50
apps,51
apps,52
apps,53
apps,54
apps,55
apps,56
apps,57
apps,58
apps,59
apps,60
apps,61
apps,62
apps,63
apps,64
apps,65
apps,66
apps,67
apps,68
apps,69
apps,70
apps,71
apps,72
apps,73
apps,74
apps,75
apps,76
apps,77
apps,78
apps,79
apps,80
apps,81
apps,82
apps,83
apps,84
apps,85
apps,86
apps,87
apps,88
apps,89
apps,90
apps,91
apps,92
apps,93
apps,94
apps,95
apps,96
apps,97
apps,98
apps,99
apps,100
apps,101
apps,102
apps,3689
apps,3690
apps,3691
apps,3692
apps,3693
apps,3694
apps,3695
apps,3696
apps,3697
apps,3698
apps,3699
apps,3700
apps,3701
apps,3702
apps,3703
apps,4000
apps,4001
apps,4002
apps,4003
apps,4004
apps,4005
apps,4006
apps,4007
apps,4008
humaneval_plus,0
humaneval_plus,1
humaneval_plus,2
humaneval_plus,3
humaneval_plus,4
humaneval_plus,5
humaneval_plus,6
humaneval_plus,7
humaneval_plus,8
humaneval_plus,9
humaneval_plus,10
humaneval_plus,11
humaneval_plus,12
humaneval_plus,13
humaneval_plus,14
humaneval_plus,15
humaneval_plus,16
humaneval_plus,17
humaneval_plus,18
humaneval_plus,19
humaneval_plus,20
humaneval_plus,21
humaneval_plus,22
humaneval_plus,23
humaneval_plus,24
humaneval_plus,25
humaneval_plus,26
humaneval_plus,27
humaneval_plus,28
humaneval_plus,29
humaneval_plus,30
humaneval_plus,31
humaneval_plus,32
humaneval_plus,33
humaneval_plus,34
humaneval_plus,35
humaneval_plus,36
humaneval_plus,37
humaneval_plus,38
humaneval_plus,39
humaneval_plus,40
humaneval_plus,41
humaneval_plus,42
humaneval_plus,43
humaneval_plus,44
humaneval_plus,45
humaneval_plus,46
humaneval_plus,47
humaneval_plus,48
humaneval_plus,49
humaneval_plus,50
humaneval_plus,51
humaneval_plus,52
humaneval_plus,53
humaneval_plus,54
humaneval_plus,55
humaneval_plus,56
humaneval_plus,57
humaneval_plus,58
humaneval_plus,59
humaneval_plus,60
humaneval_plus,61
humaneval_plus,62
humaneval_plus,63
humaneval_plus,64
humaneval_plus,65
humaneval_plus,66
humaneval_plus,67
humaneval_plus,68
humaneval_plus,69
humaneval_plus,70
humaneval_plus,71
humaneval_plus,72
humaneval_plus,73
humaneval_plus,74
humaneval_plus,75
humaneval_plus,76
humaneval_plus,77
humaneval_plus,78
humaneval_plus,79
humaneval_plus,80
humaneval_plus,81
humaneval_plus,82
humaneval_plus,83
humaneval_plus,84
humaneval_plus,85
humaneval_plus,86
humaneval_plus,87
humaneval_plus,88
humaneval_plus,89
humaneval_plus,90
humaneval_plus,91
humaneval_plus,92
humaneval_plus,93
humaneval_plus,94
humaneval_plus,95
humaneval_plus,96
humaneval_plus,97
humaneval_plus,98
humaneval_plus,99
humaneval_plus,100
humaneval_plus,101
humaneval_plus,102
humaneval_plus,103
humaneval_plus,104
humaneval_plus,105
humaneval_plus,106
humaneval_plus,107
humaneval_plus,108
humaneval_plus,109
humaneval_plus,110
humaneval_plus,111
humaneval_plus,112
humaneval_plus,113
humaneval_plus,114
humaneval_plus,115
humaneval_plus,116
humaneval_plus,117
humaneval_plus,118
humaneval_plus,119
humaneval_plus,120
humaneval_plus,121
humaneval_plus,122
